area,month,count
ROSEMONT/MOUNT ROYAL,2024-01,6
ROSEMONT/MOUNT ROYAL,2025-01,2
ROSEMONT/MOUNT ROYAL,2025-07,2
ROSS INDUSTRIAL,2018-05,1
ROSS INDUSTRIAL,2020-08,1
ROSS INDUSTRIAL,2024-01,16
ROSS INDUSTRIAL,2024-02,1
ROSS INDUSTRIAL,2025-12,1
Unknown,2018-10,1
Unknown,2024-01,1
WAREHOUSE DISTRICT,2016-05,1
WAREHOUSE DISTRICT,2016-06,1
WAREHOUSE DISTRICT,2016-08,1
WAREHOUSE DISTRICT,2016-11,1
WAREHOUSE DISTRICT,2017-03,1
WAREHOUSE DISTRICT,2017-05,1
WAREHOUSE DISTRICT,2018-03,1
WAREHOUSE DISTRICT,2018-07,1
WAREHOUSE DISTRICT,2019-05,1
WAREHOUSE DISTRICT,2021-03,1
WAREHOUSE DISTRICT,2021-04,1
WAREHOUSE DISTRICT,2021-06,1
WAREHOUSE DISTRICT,2021-11,2
WAREHOUSE DISTRICT,2022-11,1
WAREHOUSE DISTRICT,2023-07,1
WAREHOUSE DISTRICT,2023-09,2
WAREHOUSE DISTRICT,2023-10,2
WAREHOUSE DISTRICT,2024-01,434
WAREHOUSE DISTRICT,2024-02,2
WAREHOUSE DISTRICT,2024-03,2
WAREHOUSE DISTRICT,2024-05,7
WAREHOUSE DISTRICT,2024-06,2
WAREHOUSE DISTRICT,2024-07,1
WAREHOUSE DISTRICT,2025-01,24
WAREHOUSE DISTRICT,2025-05,1
